,FULL_NAME,YEAR_START,YEAR_END,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE,PLAYER_ID
1074,Leroy Ellis,1963,1976,C-F,6-10,210.0,"March 10, 1940",St. John's University,76663.0
1075,Pervis Ellison,1990,2001,F-C,6-9,210.0,"April 3, 1967",University of Louisville,442.0
1076,Len Elmore,1975,1984,C-F,6-9,220.0,"March 28, 1952",University of Maryland,600010.0
1077,Francisco Elson,2004,2012,C,7-0,235.0,"February 28, 1976",University of California,1922.0
1078,Darrell Elston,1975,1977,G,6-4,190.0,"August 15, 1952",University of North Carolina,76667.0
1079,Melvin Ely,2003,2014,C,6-10,260.0,"May 2, 1978","California State University, Fresno",2408.0
1080,Joel Embiid,2017,2018,C-F,7-0,250.0,"March 16, 1994",University of Kansas,203954.0
1081,Wayne Embry,1959,1969,C-F,6-8,240.0,"March 26, 1937",Miami University,76668.0
1082,Andre Emmett,2005,2012,F,6-5,230.0,"August 27, 1982",Texas Tech University,2765.0
1084,Chris Engler,1983,1988,C,6-11,245.0,"March 1, 1959",University of Wyoming,76670.0
1086,A.J. English,1991,1992,G,6-3,175.0,"July 11, 1967",Virginia Union University,76672.0
1087,Alex English,1977,1991,F,6-7,190.0,"January 5, 1954",University of South Carolina,76673.0
1088,Claude English,1971,1971,F,6-4,185.0,"December 26, 1946",University of Rhode Island,76674.0
1090,Kim English,2013,2013,G,6-6,200.0,"September 24, 1988",University of Missouri,203119.0
1091,Scott English,1973,1975,F,6-6,205.0,"October 20, 1950",University of Texas at El Paso,76675.0
1094,Tyler Ennis,2015,2018,G,6-3,194.0,"August 24, 1994",Syracuse University,203898.0
1095,Ray Epps,1979,1979,F,6-6,195.0,"August 20, 1956",Norfolk State University,76678.0
1096,Bo Erias,1958,1958,F,6-3,220.0,"July 30, 1932",Niagara University,76679.0
1097,Keith Erickson,1966,1977,F-G,6-5,195.0,"April 19, 1944","University of California, Los Angeles",76680.0
1098,Julius Erving,1972,1987,F-G,6-7,210.0,"February 22, 1950",University of Massachusetts Amherst,76681.0
1099,Evan Eschmeyer,2000,2003,C,6-11,255.0,"May 30, 1975",Northwestern University,1915.0
1101,Billy Evans,1970,1970,G,6-0,170.0,"March 3, 1947",Boston College,80903.0
1102,Bob Evans,1950,1950,G,6-2,175.0,"May 31, 1925",Butler University,76687.0
1103,Brian Evans,1997,1999,F,6-8,220.0,"September 13, 1973",Indiana University,967.0
1104,Earl Evans,1980,1980,F,6-8,202.0,"November 11, 1955","University of Nevada, Las Vegas",76685.0
1105,Jawun Evans,2018,2018,G,6-0,185.0,"July 26, 1996",Oklahoma State University,1628393.0
1106,Jeremy Evans,2011,2016,F,6-9,200.0,"October 24, 1987",Western Kentucky University,202379.0
1108,Mike Evans,1980,1988,G,6-1,170.0,"April 19, 1955",Kansas State University,76686.0
1110,Tyreke Evans,2010,2018,G-F,6-6,220.0,"September 19, 1989",University of Memphis,201936.0
1111,Daniel Ewing,2006,2007,G,6-3,185.0,"March 26, 1983",Duke University,101137.0
1112,Patrick Ewing,1986,2002,C-F,7-0,240.0,"August 5, 1962",Georgetown University,121.0
1113,Patrick Ewing,2011,2011,F,6-8,235.0,"May 20, 1984",Georgetown University,201607.0
1114,Festus Ezeli,2013,2016,C,6-11,255.0,"October 21, 1989",Vanderbilt University,203105.0
1115,Johnny Ezersky,1948,1950,F-G,6-3,175.0,"March 21, 1922",University of Rhode Island,76689.0
1117,John Fairchild,1966,1970,F,6-8,205.0,"April 28, 1943",Brigham Young University,76691.0
1119,Kenneth Faried,2012,2018,F,6-8,228.0,"November 19, 1989",Morehead State University,202702.0
1120,Dick Farley,1955,1959,G-F,6-4,190.0,"April 13, 1932",Indiana University,76693.0
1121,Jordan Farmar,2007,2017,G,6-2,180.0,"November 30, 1986","University of California, Los Angeles",200770.0
1123,Jim Farmer,1988,1994,G,6-4,190.0,"September 23, 1964",University of Alabama,76695.0
1124,Mike Farmer,1959,1966,F,6-7,210.0,"September 26, 1936",University of San Francisco,76694.0
1127,Derrick Favors,2011,2018,F-C,6-10,265.0,"July 15, 1991",Georgia Institute of Technology,202324.0
1128,Nick Fazekas,2008,2008,F,6-11,235.0,"June 17, 1985","University of Nevada, Reno",201174.0
1129,Dave Fedor,1963,1963,F,6-6,190.0,"December 10, 1940",Florida State University,76697.0
1131,Butch Feher,1977,1977,G,6-4,185.0,"May 19, 1954",Vanderbilt University,76699.0
1132,Jamie Feick,1997,2001,C,6-9,255.0,"July 3, 1974",Michigan State University,994.0
1133,Ron Feiereisel,1956,1956,G,6-3,185.0,"August 6, 1931",DePaul University,76701.0
1135,Dave Feitl,1987,1992,C,6-11,235.0,"June 8, 1962",University of Texas at El Paso,76703.0
1136,Kay Felder,2017,2018,G,5-9,176.0,"March 29, 1995",Oakland University,1627770.0
1137,Carrick Felix,2014,2014,G,6-6,201.0,"August 17, 1990",Arizona State University,203467.0
1139,Ray Felix,1954,1962,C,6-11,220.0,"December 10, 1930",Long Island University,76704.0
1140,Raymond Felton,2006,2018,G,6-1,205.0,"June 26, 1984",University of North Carolina,101109.0
1141,Jake Fendley,1952,1953,G,6-0,180.0,"June 12, 1929",Northwestern University,76705.0
1144,Eric Fernsten,1976,1984,C-F,6-10,205.0,"November 1, 1953",University of San Francisco,76707.0
1145,Al Ferrari,1956,1963,G-F,6-4,190.0,"July 6, 1933",Michigan State University,76708.0
1146,Rolando Ferreira,1989,1989,C,7-1,240.0,"May 24, 1964",University of Houston,76709.0
1149,Arnie Ferrin,1949,1951,F-G,6-2,180.0,"July 29, 1925",University of Utah,76711.0
1150,Bob Ferry,1960,1969,C-F,6-8,230.0,"May 31, 1937",Saint Louis University,76712.0
1151,Danny Ferry,1991,2003,F,6-10,230.0,"October 17, 1966",Duke University,198.0
1152,Bobby Fields,1972,1972,G,6-3,175.0,"October 20, 1949",La Salle University,81421.0
1153,Kenny Fields,1985,1988,F-G,6-5,220.0,"February 9, 1962","University of California, Los Angeles",76713.0
1154,Landry Fields,2011,2015,F,6-7,210.0,"June 27, 1988",Stanford University,202361.0
1155,Ron Filipek,1968,1968,F,6-5,205.0,"February 5, 1944",Tennessee Technological University,76714.0
1156,Greg Fillmore,1971,1972,C,7-1,240.0,"March 7, 1947",Cheyney University of Pennsylvania,76715.0
1157,Larry Finch,1974,1975,G,6-2,185.0,"February 16, 1951",University of Memphis,81608.0
1158,Hank Finkel,1967,1975,C,7-0,240.0,"April 20, 1942",University of Dayton,76716.0
1159,Michael Finley,1996,2010,G-F,6-7,215.0,"March 6, 1973",University of Wisconsin,714.0
1162,Matt Fish,1995,1997,C,6-11,235.0,"November 18, 1969",University of North Carolina at Wilmington,900.0
1163,Derek Fisher,1997,2014,G,6-1,200.0,"August 9, 1974",University of Arkansas at Little Rock,965.0
1164,Richard Fisher,1972,1972,F,6-5,215.0,"October 27, 1948",Colorado State University,81422.0
1168,Marcus Fizer,2001,2006,F,6-9,262.0,"August 10, 1978",Iowa State University,2033.0
1170,Al Fleming,1978,1978,F,6-7,215.0,"April 5, 1954",University of Arizona,76722.0
1171,Ed Fleming,1956,1960,G-F,6-3,189.0,"July 25, 1933",Niagara University,76723.0
1172,Vern Fleming,1985,1996,G,6-5,185.0,"February 4, 1962",University of Georgia,313.0
1173,Luis Flores,2005,2005,G,6-2,200.0,"April 11, 1981",Manhattan College,2784.0
1174,Bruce Flowers,1983,1983,F,6-8,225.0,"June 13, 1957",University of Notre Dame,76725.0
1175,Sleepy Floyd,1983,1995,G,6-3,170.0,"March 6, 1960",Georgetown University,76726.0
1176,Jonny Flynn,2010,2012,G,6-0,185.0,"February 6, 1989",Syracuse University,201938.0
1177,Mike Flynn,1976,1978,G,6-2,180.0,"July 31, 1953",University of Kentucky,76727.0
1178,Larry Fogle,1976,1976,G,6-5,205.0,"March 19, 1953",Canisius College,76728.0
1179,Jack Foley,1963,1963,F,6-3,170.0,"April 19, 1939",College of the Holy Cross,76729.0
1181,Levi Fontaine,1971,1971,G,6-4,190.0,"November 1, 1948",University of Maryland Eastern Shore,76731.0
1185,Alphonso Ford,1994,1995,G,6-1,190.0,"October 31, 1971",Mississippi Valley State University,76732.0
1186,Alton Ford,2002,2004,F,6-9,275.0,"May 29, 1981",University of Houston,2228.0
1187,Bob Ford,1973,1973,F,6-7,228.0,"January 26, 1950",Purdue University,81440.0
1188,Chris Ford,1973,1982,G-F,6-5,190.0,"January 11, 1949",Villanova University,76733.0
1189,Don Ford,1976,1982,F,6-9,215.0,"December 31, 1952","University of California, Santa Barbara",76734.0
1190,Jake Ford,1971,1972,G,6-3,180.0,"April 29, 1946",University of Maryland Eastern Shore,76735.0
1191,Phil Ford,1979,1985,G,6-2,175.0,"February 9, 1956",University of North Carolina,76736.0
1193,Sherell Ford,1996,1996,F,6-7,210.0,"August 26, 1972",University of Illinois at Chicago,726.0
1194,T.J. Ford,2004,2012,G,6-0,165.0,"March 24, 1983",University of Texas at Austin,2551.0
1196,Bayard Forrest,1978,1979,C,6-10,235.0,"July 8, 1954",Grand Canyon University,76739.0
1197,Joseph Forte,2002,2003,G,6-4,194.0,"March 23, 1981",University of North Carolina,2218.0
1199,Danny Fortson,1998,2007,F,6-7,260.0,"March 27, 1976",University of Cincinnati,1504.0
1200,Fred Foster,1969,1977,F,6-5,210.0,"March 18, 1946",Miami University,76740.0
1201,Greg Foster,1991,2003,F-C,6-11,240.0,"October 3, 1968",University of Texas at El Paso,323.0
1202,Jeff Foster,2000,2012,F-C,6-11,236.0,"January 16, 1977",Texas State University,1902.0
1204,Rod Foster,1984,1986,G,6-1,160.0,"October 10, 1960","University of California, Los Angeles",76742.0
1205,Larry Foust,1951,1962,C-F,6-9,215.0,"June 24, 1928",La Salle University,76744.0
1208,Tremaine Fowlkes,2002,2005,F,6-8,220.0,"April 11, 1976","California State University, Fresno",1762.0
1209,De'Aaron Fox,2018,2018,G,6-3,170.0,"December 20, 1997",University of Kentucky,1628368.0
1210,Harold Fox,1973,1973,G,6-2,175.0,"August 29, 1949",Jacksonville University,76746.0
1211,Jim Fox,1968,1977,C-F,6-10,230.0,"April 7, 1943",University of South Carolina,76747.0
1212,Rick Fox,1992,2004,F-G,6-7,230.0,"July 24, 1969",University of North Carolina,296.0
1213,Randy Foye,2007,2017,G,6-4,213.0,"September 24, 1983",Villanova University,200751.0
1214,Adonal Foyle,1998,2009,C,6-10,250.0,"March 9, 1975",Colgate University,1502.0
1216,Steve Francis,2000,2008,G,6-3,195.0,"February 21, 1977",University of Maryland,1883.0
1217,Tellis Frank,1988,1994,F-C,6-10,225.0,"April 26, 1965",Western Kentucky University,76748.0
1219,Jamaal Franklin,2014,2015,G,6-5,191.0,"July 21, 1991",San Diego State University,203479.0
1220,William Franklin,1973,1976,F,6-7,220.0,"October 19, 1949",Purdue University,81448.0
1221,Ronald Franz,1968,1973,F,6-7,205.0,"October 20, 1945",University of Kansas,80649.0
1223,Walt Frazier,1968,1980,G,6-4,200.0,"March 29, 1945",Southern Illinois University,76750.0
1224,Will Frazier,1966,1969,C-F,6-7,210.0,"August 24, 1942",Grambling State University,76751.0
1225,Anthony Frederick,1989,1992,F,6-7,205.0,"December 7, 1964",Pepperdine University,76752.0
1226,Jimmer Fredette,2012,2016,G,6-2,195.0,"February 25, 1989",Brigham Young University,202690.0
1228,Donnie Freeman,1968,1976,G,6-3,185.0,"July 18, 1944",University of Illinois at Urbana-Champaign,76754.0
1229,Gary Freeman,1971,1971,F,6-9,210.0,"July 25, 1948",Oregon State University,76755.0
1230,Rod Freeman,1974,1974,F,6-7,225.0,"November 5, 1950",Vanderbilt University,76756.0
1231,Matt Freije,2005,2007,F,6-10,240.0,"October 2, 1981",Vanderbilt University,2782.0
1233,Larry Friend,1958,1958,G-F,6-4,185.0,"April 14, 1935",University of California,76758.0
1234,Pat Frink,1969,1969,G,6-4,195.0,"February 18, 1945",University of Colorado,76759.0
1235,Jim Fritsche,1954,1955,F-C,6-8,210.0,"December 10, 1931",Hamline University,76760.0
1236,Channing Frye,2006,2018,C-F,6-11,255.0,"May 17, 1983",University of Arizona,101112.0
1237,Bernie Fryer,1974,1975,G,6-3,185.0,"December 25, 1949",Brigham Young University,76761.0
1240,Carl Fuller,1971,1972,C,6-9,225.0,"January 10, 1946",Bethune-Cookman College,80693.0
1242,Todd Fuller,1997,2001,C,6-11,255.0,"July 25, 1974",North Carolina State University,957.0
1243,Tony Fuller,1981,1981,G,6-4,180.0,"September 4, 1958",Pepperdine University,76765.0
1244,Markelle Fultz,2018,2018,G,6-4,195.0,"May 29, 1998",University of Washington,1628365.0
1245,Lawrence Funderburke,1998,2005,F,6-9,230.0,"December 15, 1970",Ohio State University,1444.0
1246,Terry Furlow,1977,1980,G-F,6-4,190.0,"October 18, 1954",Michigan State University,76767.0
1248,Dan Gadzuric,2003,2012,C,6-11,240.0,"February 2, 1978","University of California, Los Angeles",2429.0
1251,Bill Gaines,1969,1969,G,6-4,185.0,"March 10, 1946",East Texas State University,80869.0
1252,Corey Gaines,1989,1995,G,6-3,195.0,"June 1, 1965",Loyola Marymount University,76770.0
1254,Reece Gaines,2004,2006,G,6-6,205.0,"January 7, 1981",University of Louisville,2558.0
1256,Mike Gale,1972,1982,G,6-4,185.0,"July 18, 1950",Elizabeth City State University,76771.0
1257,Chad Gallagher,1994,1994,C,6-10,255.0,"May 30, 1969",Creighton University,76772.0
1258,Harry Gallatin,1949,1958,F-C,6-6,210.0,"April 26, 1927",Truman State University,76773.0
1260,Dave Gambee,1959,1970,F,6-6,215.0,"April 16, 1937",Oregon State University,76774.0
1261,Kevin Gamble,1988,1997,F-G,6-5,210.0,"November 13, 1965",University of Iowa,333.0
1264,Francisco Garcia,2006,2015,F-G,6-7,195.0,"December 31, 1981",University of Louisville,101128.0
1265,Chuck Gardner,1968,1968,F,6-8,205.0,"September 30, 1944",University of Colorado,80605.0
1266,Earl Gardner,1949,1949,F,6-3,195.0,"September 18, 1923",DePauw University,76778.0
1267,Kenneth Gardner,1976,1976,F,6-5,205.0,"September 27, 1949",University of Utah,81383.0
1269,Vern Gardner,1950,1952,F-C,6-5,200.0,"May 14, 1925",University of Utah,76779.0
1272,Gary Garland,1980,1980,G,6-4,180.0,"October 12, 1957",DePaul University,76781.0
1273,Winston Garland,1988,1995,G,6-2,170.0,"December 19, 1964",Missouri State University,76782.0
1274,Dick Garmaker,1956,1961,G-F,6-3,200.0,"October 29, 1932",University of Minnesota,76783.0
1275,Bill Garner,1968,1968,C,6-10,220.0,"June 17, 1940",University of Portland,80294.0
1277,Bill Garnett,1983,1986,F,6-9,225.0,"April 22, 1960",University of Wyoming,76785.0
1279,Calvin Garrett,1981,1984,F,6-7,190.0,"July 11, 1956",Oral Roberts University,76786.0
1280,Dean Garrett,1997,2002,C,6-10,225.0,"November 27, 1966",Indiana University,1051.0
1283,Rowland Garrett,1973,1977,F,6-6,210.0,"July 16, 1950",Florida State University,76789.0
1284,Tom Garrick,1989,1992,G,6-2,185.0,"July 7, 1966",University of Rhode Island,76790.0
1285,John Garris,1984,1984,F,6-8,205.0,"June 6, 1959",Boston College,76791.0
1287,Pat Garrity,1999,2008,F,6-9,238.0,"August 23, 1976",University of Notre Dame,1727.0
1288,Jim Garvin,1974,1974,F,6-7,200.0,"February 5, 1950",Boston University,76793.0
1290,Chris Gatling,1992,2002,F-C,6-10,220.0,"September 3, 1967",Old Dominion University,423.0
1291,Kenny Gattison,1987,1996,F-C,6-8,225.0,"May 23, 1964",Old Dominion University,930.0
1292,Rudy Gay,2007,2018,F,6-8,230.0,"August 17, 1986",University of Connecticut,200752.0
1293,Ed Gayda,1951,1951,G-F,6-4,210.0,"May 11, 1927",Washington State University,76797.0
1295,Michael Gbinije,2017,2017,G,6-7,200.0,"June 5, 1992",Syracuse University,1627771.0
1296,Reggie Geary,1997,1998,G,6-2,187.0,"August 31, 1973",University of Arizona,1002.0
1298,Matt Geiger,1993,2002,C,7-0,243.0,"September 10, 1969",Georgia Institute of Technology,761.0
1299,Devean George,2000,2010,G-F,6-8,220.0,"August 29, 1977",Augsburg College,1904.0
1300,Jack George,1954,1961,G,6-2,190.0,"November 13, 1928",La Salle University,76800.0
1301,Paul George,2011,2018,F,6-9,220.0,"May 2, 1990","California State University, Fresno",202331.0
1302,Tate George,1991,1995,G,6-5,190.0,"May 29, 1968",University of Connecticut,76801.0
1304,Gus Gerard,1975,1981,F-G,6-8,200.0,"July 27, 1953",University of Virginia,76802.0
1305,Derrick Gervin,1990,1991,F,6-8,200.0,"March 28, 1963",University of Texas at San Antonio,76803.0
1306,George Gervin,1973,1986,G-F,6-7,180.0,"April 27, 1952",Eastern Michigan University,76804.0
1308,John Gianelli,1973,1980,C-F,6-10,220.0,"June 10, 1950",University of the Pacific,76806.0
1309,Dick Gibbs,1972,1976,F-G,6-5,210.0,"December 20, 1948",University of Texas at El Paso,76807.0
1310,Daniel Gibson,2007,2013,G,6-2,190.0,"February 27, 1986",University of Texas at Austin,200789.0
1311,Dee Gibson,1950,1950,F-G,5-11,175.0,"August 25, 1923",Western Kentucky University,76808.0
1314,Mel Gibson,1964,1964,G,6-3,180.0,"December 30, 1940",Western Carolina University,76809.0
1315,Mike Gibson,1984,1986,F,6-10,205.0,"October 27, 1960",University of South Carolina Upstate,76810.0
1316,Taj Gibson,2010,2018,F,6-9,225.0,"June 24, 1985",University of Southern California,201959.0
1317,J.R. Giddens,2009,2010,G,6-5,215.0,"February 13, 1985",University of New Mexico,201592.0
1320,Kendall Gill,1991,2005,G,6-5,195.0,"May 25, 1968",University of Illinois at Urbana-Champaign,383.0
1322,Jack Gillespie,1970,1970,F,6-6,215.0,"October 1, 1947",Montana State University,80940.0
1323,Armen Gilliam,1988,2000,F-C,6-9,230.0,"May 28, 1964","University of Nevada, Las Vegas",288.0
1324,Herm Gilliam,1970,1977,G-F,6-3,190.0,"May 5, 1946",Purdue University,76815.0
1325,Artis Gilmore,1972,1988,C,7-2,240.0,"September 21, 1949",Jacksonville University,600014.0
1326,Walt Gilmore,1971,1971,F,6-6,225.0,"February 27, 1947",Fort Valley State University,76817.0
1328,Jack Givens,1979,1980,F-G,6-5,205.0,"September 21, 1956",University of Kentucky,76819.0
1331,Gerald Glass,1991,1996,G-F,6-5,221.0,"November 12, 1967",University of Mississippi,76821.0
1332,Mike Glenn,1978,1987,G,6-2,175.0,"September 10, 1955",Southern Illinois University,76822.0
1334,Clarence Glover,1972,1972,F,6-8,210.0,"November 1, 1947",Western Kentucky University,76825.0
1335,Dion Glover,2000,2005,G,6-5,228.0,"October 22, 1978",Georgia Institute of Technology,1901.0
1336,Mike Gminski,1981,1994,C,6-11,250.0,"August 3, 1959",Duke University,76826.0
1338,Tom Gola,1956,1966,G-F,6-6,205.0,"January 13, 1933",La Salle University,76828.0
1340,Anthony Goldwire,1996,2006,G,6-1,182.0,"September 6, 1971",University of Houston,924.0
1341,Ryan Gomes,2006,2014,F,6-7,250.0,"September 1, 1982",Providence College,101155.0
1342,Glen Gondrezick,1978,1983,F-G,6-6,218.0,"August 30, 1955","University of Nevada, Las Vegas",76830.0
1343,Grant Gondrezick,1987,1989,G,6-5,205.0,"January 19, 1963",Pepperdine University,76831.0
1344,Drew Gooden,2003,2016,F,6-10,250.0,"September 24, 1981",University of Kansas,2400.0
1345,Gail Goodrich,1966,1979,G,6-1,170.0,"April 23, 1943","University of California, Los Angeles",76832.0
1347,Archie Goodwin,2014,2017,G,6-5,200.0,"August 17, 1994",University of Kentucky,203462.0
1348,Aaron Gordon,2015,2018,F,6-9,220.0,"September 16, 1995",University of Arizona,203932.0
1349,Ben Gordon,2005,2015,G,6-3,200.0,"April 4, 1983",University of Connecticut,2732.0
1351,Eric Gordon,2009,2018,G,6-4,215.0,"December 25, 1988",Indiana University,201569.0
1352,Lancaster Gordon,1985,1988,G,6-3,185.0,"June 24, 1962",University of Louisville,76834.0
1353,Paul Gordon,1950,1950,F,6-3,185.0,"April 8, 1927",University of Notre Dame,76835.0
1354,Andrew Goudelock,2012,2016,G,6-3,200.0,"December 7, 1988",College of Charleston,202726.0
1355,Gerald Govan,1968,1976,F-C,6-10,220.0,"January 2, 1942",Saint Mary of the Plains College,80451.0
1356,Bato Govedarica,1954,1954,G,5-11,185.0,"April 17, 1928",DePaul University,76837.0
1357,Ricky Grace,1994,1994,G,6-1,180.0,"August 20, 1967",University of Oklahoma,76839.0
1359,Greg Graham,1994,1998,G,6-4,174.0,"November 26, 1970",Indiana University,37.0
1360,Joey Graham,2006,2011,F,6-7,225.0,"June 11, 1982",Oklahoma State University,101121.0
1361,Mal Graham,1968,1969,G,6-1,185.0,"February 23, 1945",New York University,76843.0
1362,Orlando Graham,1989,1989,F,6-8,220.0,"May 5, 1965",Auburn University at Montgomery,76841.0
1366,Jim Grandholm,1991,1991,F-C,7-0,235.0,"October 4, 1960",University of South Florida,76844.0
1368,Danny Granger,2006,2015,F,6-9,222.0,"April 20, 1983",University of New Mexico,101122.0
1369,Stewart Granger,1984,1987,G,6-3,190.0,"October 27, 1961",Villanova University,76847.0
1370,Brian Grant,1995,2006,F,6-9,254.0,"March 5, 1972",Xavier University,258.0
1371,Bud Grant,1950,1951,F,6-3,195.0,"May 20, 1927",University of Minnesota,76850.0
1372,Gary Grant,1989,2001,G,6-3,185.0,"April 21, 1965",University of Michigan,202.0
1373,Greg Grant,1990,1996,G,5-7,140.0,"August 29, 1966",Trenton State University,285.0
1374,Harvey Grant,1989,1999,F,6-8,195.0,"July 4, 1965",University of Oklahoma,265.0
1375,Horace Grant,1988,2004,F-C,6-10,215.0,"July 4, 1965",Clemson University,270.0
1376,Jerami Grant,2015,2018,F,6-8,210.0,"March 12, 1994",Syracuse University,203924.0
1377,Jerian Grant,2016,2018,G,6-4,195.0,"October 9, 1992",University of Notre Dame,1626170.0
1378,Josh Grant,1994,1994,F,6-9,223.0,"August 7, 1967",University of Utah,76852.0
1379,Paul Grant,1999,2004,C,7-0,245.0,"January 6, 1974",University of Wisconsin,1514.0
1380,Travis Grant,1973,1976,F,6-7,215.0,"January 1, 1950",Kentucky State University,76853.0
1382,Butch Graves,1985,1985,G,6-3,200.0,"January 5, 1962",Yale University,76855.0
1383,Aaron Gray,2008,2014,C,7-0,270.0,"December 7, 1984",University of Pittsburgh,201189.0
1385,Ed Gray,1998,1999,G,6-3,210.0,"September 27, 1975",University of California,1516.0
1387,Gary Gray,1968,1968,G,6-1,185.0,"February 23, 1945",Oklahoma City University,76859.0
1388,Leonard Gray,1975,1977,F,6-8,240.0,"December 19, 1951","California State University, Long Beach",76860.0
1389,Stuart Gray,1985,1991,C-F,7-0,235.0,"May 27, 1963","University of California, Los Angeles",76861.0
1390,Sylvester Gray,1989,1989,F,6-6,230.0,"July 8, 1967",University of Memphis,76862.0
1392,Jeff Grayer,1989,1998,F-G,6-5,200.0,"December 17, 1965",Iowa State University,81.0
1393,Bob Greacen,1970,1972,F,6-7,206.0,"September 15, 1947",Rutgers University,76865.0
1394,A.C. Green,1986,2001,F-C,6-9,220.0,"October 4, 1963",Oregon State University,920.0
1395,Danny Green,2010,2018,G-F,6-6,215.0,"June 22, 1987",University of North Carolina,201980.0
1397,Draymond Green,2013,2018,F,6-7,230.0,"March 4, 1990",Michigan State University,203110.0
1398,Erick Green,2015,2016,G,6-4,185.0,"May 9, 1991",Virginia Polytechnic Institute and State University,203475.0
1400,Jeff Green,2008,2018,F,6-9,235.0,"August 28, 1986",Georgetown University,201145.0
1401,Johnny Green,1960,1973,F-C,6-5,200.0,"December 8, 1933",Michigan State University,76867.0
1402,Ken Green,1986,1986,F,6-8,215.0,"September 19, 1959",University of Texas-Pan American,76868.0
1403,Kenny Green,1986,1987,F,6-6,210.0,"October 11, 1964",Wake Forest University,76869.0
1404,Lamar Green,1970,1975,F-C,6-7,210.0,"March 22, 1947",Morehead State University,600011.0
1405,Litterial Green,1993,1999,G,6-1,185.0,"March 7, 1970",University of Georgia,1036.0
1406,Luther Green,1970,1973,F,6-7,190.0,"November 13, 1946",Long Island University,76872.0
1407,Mike Green,1974,1980,C-F,6-10,200.0,"August 6, 1951",Louisiana Tech University,76873.0
1408,Rickey Green,1978,1992,G,6-0,170.0,"August 18, 1954",University of Michigan,76874.0
1409,Sean Green,1992,1994,G-F,6-5,210.0,"February 2, 1970",Iona College,76875.0
1410,Si Green,1957,1966,G-F,6-2,185.0,"August 20, 1933",Duquesne University,76877.0
1411,Sidney Green,1984,1993,F-C,6-9,220.0,"January 4, 1961","University of Nevada, Las Vegas",76876.0
1412,Steve Green,1976,1979,F,6-7,220.0,"October 4, 1953",Indiana University,76878.0
1413,Taurean Green,2008,2008,G,6-0,177.0,"November 28, 1986",University of Florida,201192.0
1415,Willie Green,2004,2015,G,6-4,200.0,"July 28, 1981",University of Detroit Mercy,2584.0
1416,Donte Greene,2009,2012,F,6-11,226.0,"February 21, 1988",Syracuse University,201590.0
1417,Orien Greene,2006,2011,G,6-4,208.0,"February 4, 1982",University of Louisiana at Lafayette,101158.0
1418,Jerry Greenspan,1964,1965,F,6-5,195.0,"November 22, 1941",University of Maryland,76880.0
1420,Hal Greer,1959,1973,G-F,6-2,175.0,"June 26, 1936",Marshall University,76882.0
1421,Lynn Greer,2007,2007,G,6-2,175.0,"October 23, 1979",Temple University,81676.0
1422,Gary Gregor,1969,1974,F-C,6-7,225.0,"August 13, 1945",University of South Carolina,76883.0
1423,Claude Gregory,1986,1988,F,6-8,205.0,"December 26, 1958",University of Wisconsin,76884.0
1424,John Greig,1983,1983,F,6-7,215.0,"April 28, 1961",University of Oregon,76885.0
1425,Norm Grekin,1954,1954,F,6-5,180.0,"June 22, 1930",La Salle University,76886.0
1426,Kevin Grevey,1976,1985,G-F,6-5,210.0,"May 12, 1953",University of Kentucky,76887.0
1429,Blake Griffin,2011,2018,F,6-10,251.0,"March 16, 1989",University of Oklahoma,201933.0
1430,Eddie Griffin,2002,2007,F-C,6-10,220.0,"May 30, 1982",Seton Hall University,2204.0
1431,Greg Griffin,1978,1978,F,6-7,190.0,"September 6, 1952",Idaho State University,76888.0
1432,Paul Griffin,1977,1983,F-C,6-9,205.0,"January 20, 1954",Western Michigan University,76889.0
1433,Taylor Griffin,2010,2010,F,6-7,238.0,"April 18, 1986",University of Oklahoma,201981.0
1434,Darrell Griffith,1981,1991,G,6-4,190.0,"June 16, 1958",University of Louisville,76890.0
1435,Chuck Grigsby,1955,1955,G,6-5,190.0,"August 15, 1928",University of Dayton,76891.0
1438,Dick Groat,1953,1953,G,5-11,180.0,"November 4, 1930",Duke University,76894.0
1439,Bob Gross,1976,1983,F-G,6-6,200.0,"August 3, 1953","California State University, Long Beach",76895.0
1440,Mike Grosso,1972,1972,C,6-9,230.0,"September 7, 1947",University of Louisville,80957.0
1441,Jerry Grote,1965,1965,G,6-4,215.0,"December 28, 1940",Loyola Marymount University,76896.0
1442,Alex Groza,1950,1951,C,6-7,218.0,"October 7, 1926",University of Kentucky,76897.0
1443,Dick Grubar,1970,1970,G,6-4,184.0,"July 26, 1947",University of North Carolina,80941.0
1445,Ernie Grunfeld,1978,1986,G-F,6-6,210.0,"April 24, 1955",University of Tennessee,76899.0
1446,Gene Guarilia,1960,1963,F,6-5,220.0,"September 13, 1937",George Washington University,76900.0
1447,Petur Gudmundsson,1982,1989,C,7-2,260.0,"October 30, 1958",University of Washington,76901.0
1448,Richie Guerin,1957,1970,G,6-4,195.0,"May 29, 1932",Iona College,76902.0
1449,Tom Gugliotta,1993,2005,F,6-10,240.0,"December 19, 1969",North Carolina State University,339.0
1452,Dave Gunther,1963,1963,F,6-7,190.0,"July 22, 1937",University of Iowa,76906.0
1454,Matt Guokas,1947,1947,F,6-3,195.0,"November 11, 1915",Saint Joseph's University,76908.0
