,first_name,full_name,id,last_name
614,Chris,Chris Carr,713,Carr
615,Cory,Cory Carr,1757,Carr
616,Kenny,Kenny Carr,76350,Carr
617,M.L.,M.L. Carr,76351,Carr
618,Bob,Bob Carrington,76352,Carrington
619,DeMarre,DeMarre Carroll,201960,Carroll
620,Joe Barry,Joe Barry Carroll,76353,Carroll
621,Matt,Matt Carroll,2679,Carroll
622,Jimmy,Jimmy Carruth,1131,Carruth
623,Anthony,Anthony Carter,1853,Carter
624,Butch,Butch Carter,76355,Carter
625,Fred,Fred Carter,76356,Carter
626,George,George Carter,76357,Carter
627,Howard,Howard Carter,76358,Carter
628,Jake,Jake Carter,76359,Carter
629,Jevon,Jevon Carter,1628975,Carter
630,Maurice,Maurice Carter,2466,Carter
631,Reggie,Reggie Carter,76360,Carter
632,Ron,Ron Carter,76361,Carter
633,Vince,Vince Carter,1713,Carter
634,Wendell,Wendell Carter Jr.,1628976,Carter Jr.
635,Michael,Michael Carter-Williams,203487,Carter-Williams
636,Bill,Bill Cartwright,76362,Cartwright
637,Jay,Jay Carty,76363,Carty
638,Alex,Alex Caruso,1627936,Caruso
639,Cornelius,Cornelius Cash,76364,Cash
640,Sam,Sam Cassell,208,Cassell
641,Omri,Omri Casspi,201956,Casspi
642,Harvey,Harvey Catchings,76365,Catchings
643,Terry,Terry Catledge,767,Catledge
644,Sid,Sid Catlett,76367,Catlett
645,Kelvin,Kelvin Cato,1509,Cato
646,Bobby,Bobby Cattage,76368,Cattage
647,Willie,Willie Cauley-Stein,1626161,Cauley-Stein
648,Troy,Troy Caupain,1628505,Caupain
649,Duane,Duane Causwell,190,Causwell
650,Tyler,Tyler Cavanaugh,1628463,Cavanaugh
651,Ron,Ron Cavenall,76370,Cavenall
652,Cedric,Cedric Ceballos,76,Ceballos
653,John,John Celestand,1911,Celestand
654,Al,Al Cervi,76373,Cervi
655,Lionel,Lionel Chalmers,2763,Chalmers
656,Mario,Mario Chalmers,201596,Chalmers
657,Bill,Bill Chamberlain,76374,Chamberlain
658,Wilt,Wilt Chamberlain,76375,Chamberlain
659,Jerry,Jerry Chambers,76376,Chambers
660,Tom,Tom Chambers,1472,Chambers
661,Mike,Mike Champion,76378,Champion
662,Tyson,Tyson Chandler,2199,Chandler
663,Wilson,Wilson Chandler,201163,Chandler
664,Don,Don Chaney,76379,Chaney
665,John,John Chaney,76380,Chaney
666,Rex,Rex Chapman,364,Chapman
667,Len,Len Chappell,76382,Chappell
668,Ken,Ken Charles,76383,Charles
669,Lorenzo,Lorenzo Charles,76384,Charles
670,Joe,Joe Chealey,1629147,Chealey
671,Calbert,Calbert Cheaney,384,Cheaney
672,Maurice,Maurice Cheeks,76385,Cheeks
673,Phil,Phil Chenier,76386,Chenier
674,Will,Will Cherry,203805,Cherry
675,Derrick,Derrick Chievous,76387,Chievous
676,Pete,Pete Chilcutt,432,Chilcutt
677,Josh,Josh Childress,2735,Childress
678,Randolph,Randolph Childress,719,Childress
679,Chris,Chris Childs,164,Childs
680,Leroy,Leroy Chollet,76391,Chollet
681,Jim,Jim Chones,76392,Chones
682,Marquese,Marquese Chriss,1627737,Chriss
683,Fred,Fred Christ,76393,Christ
684,Cal,Cal Christensen,76394,Christensen
685,Bob,Bob Christian,76395,Christian
686,Doug,Doug Christie,57,Christie
687,Dionte,Dionte Christmas,202091,Christmas
688,Rakeem,Rakeem Christmas,1626176,Christmas
689,Semaj,Semaj Christon,203902,Christon
690,Patrick,Patrick Christopher,203565,Christopher
691,Robert,Robert Churchwell,928,Churchwell
692,Archie,Archie Clark,76397,Clark
693,Carlos,Carlos Clark,76398,Clark
694,Earl,Earl Clark,201947,Clark
695,Ian,Ian Clark,203546,Clark
696,Keon,Keon Clark,1721,Clark
697,Coty,Coty Clarke,1626262,Clarke
698,Jordan,Jordan Clarkson,203903,Clarkson
699,Gian,Gian Clavell,1628492,Clavell
700,Victor,Victor Claver,201964,Claver
701,Charles,Charles Claxton,1127,Claxton
702,Speedy,Speedy Claxton,2049,Claxton
703,Jim,Jim Cleamons,76402,Cleamons
704,Mateen,Mateen Cleaves,2043,Cleaves
705,John,John Clemens,76403,Clemens
706,Antonius,Antonius Cleveland,1628499,Cleveland
707,Nat,Nat Clifton,76404,Clifton
708,Bill,Bill Closs,76406,Closs
709,Keith,Keith Closs,1569,Closs
710,Paul,Paul Cloyd,76407,Cloyd
711,Marion,Marion Cluggish,76408,Cluggish
712,Ben,Ben Clyde,76409,Clyde
713,Richard,Richard Coffey,76410,Coffey
714,Fred,Fred Cofield,76411,Cofield
715,John,John Coker,715,Coker
716,Norris,Norris Cole,202708,Cole
717,Ben,Ben Coleman,76412,Coleman
718,Derrick,Derrick Coleman,934,Coleman
719,E.C.,E.C. Coleman,76413,Coleman
720,Jack,Jack Coleman,76414,Coleman
721,Norris,Norris Coleman,76415,Coleman
722,Bimbo,Bimbo Coles,902,Coles
723,Jason,Jason Collier,2044,Collier
724,Art,Art Collins,76416,Collins
725,Don,Don Collins,76418,Collins
726,Doug,Doug Collins,76421,Collins
727,James,James Collins,1530,Collins
728,Jarron,Jarron Collins,2260,Collins
729,Jason,Jason Collins,2215,Collins
730,Jimmy,Jimmy Collins,76419,Collins
731,John,John Collins,1628381,Collins
732,Mardy,Mardy Collins,200776,Collins
733,Sherron,Sherron Collins,202395,Collins
734,Zach,Zach Collins,1628380,Collins
735,Kyle,Kyle Collinsworth,1627858,Collinsworth
736,Darren,Darren Collison,201954,Collison
737,Nick,Nick Collison,2555,Collison
738,Joe,Joe Colone,76422,Colone
739,Sean,Sean Colson,2173,Colson
740,Steve,Steve Colter,306,Colter
741,Leroy,Leroy Combs,76425,Combs
742,Dallas,Dallas Comegys,76426,Comegys
743,Larry,Larry Comley,76427,Comley
744,Gene,Gene Conley,76428,Conley
745,Mike,Mike Conley,201144,Conley
746,Ed,Ed Conlin,76429,Conlin
747,Marty,Marty Conlon,55,Conlon
748,Pat,Pat Connaughton,1626192,Connaughton
749,Lester,Lester Conner,76431,Conner
750,Chuck,Chuck Connors,76432,Connors
751,Will,Will Conroy,101215,Conroy
752,Anthony,Anthony Cook,76433,Cook
753,Bert,Bert Cook,76434,Cook
754,Bobby,Bobby Cook,76438,Cook
755,Brian,Brian Cook,2567,Cook
756,Daequan,Daequan Cook,201161,Cook
757,Darwin,Darwin Cook,76435,Cook
758,Jeff,Jeff Cook,76436,Cook
759,Norm,Norm Cook,76437,Cook
760,Omar,Omar Cook,2241,Cook
761,Quinn,Quinn Cook,1626188,Cook
762,Charles,Charles Cooke,1628429,Cooke
763,David,David Cooke,76439,Cooke
764,Joe,Joe Cooke,76440,Cooke
765,Jack,Jack Cooley,204022,Cooley
766,Chuck,Chuck Cooper,76442,Cooper
767,Duane,Duane Cooper,1030,Cooper
768,Joe,Joe Cooper,76443,Cooper
769,Michael,Michael Cooper,76444,Cooper
770,Wayne,Wayne Cooper,76441,Cooper
771,Tom,Tom Copa,76446,Copa
772,Chris,Chris Copeland,203142,Copeland
773,Hollis,Hollis Copeland,76447,Copeland
774,Lanard,Lanard Copeland,76448,Copeland
775,Tyrone,Tyrone Corbin,895,Corbin
776,Chris,Chris Corchiani,76450,Corchiani
777,Ken,Ken Corley,76451,Corley
778,Ray,Ray Corley,76452,Corley
779,Dave,Dave Corzine,76453,Corzine
780,Larry,Larry Costello,76454,Costello
781,Matt,Matt Costello,1627856,Costello
782,Bryce,Bryce Cotton,203955,Cotton
783,Jack,Jack Cotton,76456,Cotton
784,James,James Cotton,1526,Cotton
785,John,John Coughran,76457,Coughran
786,Mel,Mel Counts,76458,Counts
787,Steve,Steve Courtin,76459,Courtin
788,Joe,Joe Courtney,1432,Courtney
789,Marcus,Marcus Cousin,202408,Cousin
790,DeMarcus,DeMarcus Cousins,202326,Cousins
791,Bob,Bob Cousy,600003,Cousy
792,Robert,Robert Covington,203496,Covington
793,Dave,Dave Cowens,76462,Cowens
794,John,John Cox,76463,Cox
795,Johnny,Johnny Cox,76464,Cox
796,Wesley,Wesley Cox,76465,Cox
797,Allen,Allen Crabbe,203459,Crabbe
798,Torrey,Torrey Craig,1628470,Craig
799,Chris,Chris Crawford,1544,Crawford
800,Freddie,Freddie Crawford,76466,Crawford
801,Jamal,Jamal Crawford,2037,Crawford
802,Joe,Joe Crawford,201621,Crawford
803,Jordan,Jordan Crawford,202348,Crawford
804,Markel,Markel Crawford,1629156,Crawford
805,Jim,Jim Creighton,76468,Creighton
806,Ron,Ron Crevier,76469,Crevier
807,Hal,Hal Crisler,76470,Crisler
808,Joe,Joe Crispin,2343,Crispin
809,Charlie,Charlie Criss,76471,Criss
810,Winston,Winston Crite,76472,Crite
811,Javaris,Javaris Crittenton,201159,Crittenton
812,Dillard,Dillard Crocker,76473,Crocker
813,Jeffrey,Jeffrey Crompton,76474,Crompton
814,Terry,Terry Crosby,76475,Crosby
815,Austin,Austin Croshere,1506,Croshere
816,Jeff,Jeff Cross,76476,Cross
817,Pete,Pete Cross,76477,Cross
818,Russell,Russell Cross,76478,Cross
819,Francis,Francis Crossin,76479,Crossin
820,John,John Crotty,180,Crotty
821,Mark,Mark Crow,76481,Crow
822,Corey,Corey Crowder,76482,Crowder
823,Jae,Jae Crowder,203109,Crowder
824,Pat,Pat Cummings,76483,Cummings
825,Terry,Terry Cummings,187,Cummings
826,Vonteego,Vonteego Cummings,1907,Cummings
827,Billy,Billy Cunningham,76487,Cunningham
828,Dante,Dante Cunningham,201967,Cunningham
829,Dick,Dick Cunningham,76485,Cunningham
830,Jared,Jared Cunningham,203099,Cunningham
831,William,William Cunningham,1061,Cunningham
832,Radisav,Radisav Curcic,76488,Curcic
833,Armand,Armand Cure,76489,Cure
834,Earl,Earl Cureton,940,Cureton
835,Bill,Bill Curley,223,Curley
836,Fran,Fran Curran,76492,Curran
837,Dell,Dell Curry,209,Curry
838,Eddy,Eddy Curry,2201,Curry
839,JamesOn,JamesOn Curry,201191,Curry
840,Michael,Michael Curry,688,Curry
841,Seth,Seth Curry,203552,Curry
842,Stephen,Stephen Curry,201939,Curry
843,Rastko,Rastko Cvetkovic,687,Cvetkovic
844,Mike,Mike D'Antoni,76505,D'Antoni
845,Ed,Ed Dahler,76496,Dahler
846,Quintin,Quintin Dailey,76497,Dailey
847,Samuel,Samuel Dalembert,2223,Dalembert
848,Howie,Howie Dallmar,76498,Dallmar
849,Erick,Erick Dampier,956,Dampier
850,Lou,Lou Dampier,76499,Dampier
851,Bob,Bob Dandridge,76500,Dandridge
852,Antonio,Antonio Daniels,1498,Daniels
853,Erik,Erik Daniels,2845,Daniels
854,Lloyd,Lloyd Daniels,1380,Daniels
855,Marquis,Marquis Daniels,2605,Daniels
856,Mel,Mel Daniels,76502,Daniels
857,Troy,Troy Daniels,203584,Daniels
858,Sasha,Sasha Danilovic,390,Danilovic
859,Adrian,Adrian Dantley,76504,Dantley
860,Henry,Henry Darcey,76506,Darcey
861,Jimmy,Jimmy Darden,76507,Darden
862,Yinka,Yinka Dare,212,Dare
863,Jesse,Jesse Dark,76509,Dark
864,Jimmy,Jimmy Darrow,76511,Darrow
865,Gigi,Gigi Datome,203540,Datome
866,Brad,Brad Daugherty,921,Daugherty
867,Kornel,Kornel David,1600,David
868,Jermareo,Jermareo Davidson,201176,Davidson
869,Bob,Bob Davies,76514,Davies
870,Brandon,Brandon Davies,203561,Davies
871,Anthony,Anthony Davis,203076,Davis
872,Antonio,Antonio Davis,213,Davis
873,Aubrey,Aubrey Davis,76515,Davis
874,Baron,Baron Davis,1884,Davis
875,Ben,Ben Davis,989,Davis
876,Bill,Bill Davis,76538,Davis
877,Bob,Bob Davis,76533,Davis
878,Brad,Brad Davis,76516,Davis
879,Brian,Brian Davis,76517,Davis
880,Charlie,Charlie Davis,76518,Davis
881,Charlie,Charlie Davis,76519,Davis
882,Dale,Dale Davis,905,Davis
883,Deyonta,Deyonta Davis,1627738,Davis
884,Double D,Double D Davis,76521,Davis
885,Ed,Ed Davis,202334,Davis
886,Edward,Edward Davis,76522,Davis
887,Emanual,Emanual Davis,1023,Davis
888,Glen,Glen Davis,201175,Davis
889,Harry,Harry Davis,76523,Davis
890,Hubert,Hubert Davis,93,Davis
891,James,James Davis,76524,Davis
892,Jim,Jim Davis,76525,Davis
893,Johnny,Johnny Davis,76526,Davis
894,Josh,Josh Davis,2668,Davis
895,Mark,Mark Davis,707,Davis
896,Mark,Mark Davis,76528,Davis
897,Mel,Mel Davis,76529,Davis
898,Michael,Michael Davis,76530,Davis
899,Mike,Mike Davis,76531,Davis
900,Monti,Monti Davis,76520,Davis
901,Paul,Paul Davis,200781,Davis
902,Ralph,Ralph Davis,76532,Davis
903,Ricky,Ricky Davis,1729,Davis
904,Ron,Ron Davis,76534,Davis
905,Terry,Terry Davis,426,Davis
906,Walt,Walt Davis,76536,Davis
907,Walter,Walter Davis,1453,Davis
908,Andre,Andre Dawkins,203958,Dawkins
909,Darryl,Darryl Dawkins,76539,Dawkins
910,Johnny,Johnny Dawkins,1008,Dawkins
911,Paul,Paul Dawkins,76541,Dawkins
912,Branden,Branden Dawson,1626183,Dawson
913,Eric,Eric Dawson,201286,Dawson
914,Tony,Tony Dawson,76542,Dawson
915,Todd,Todd Day,103,Day
916,Austin,Austin Daye,201948,Daye
917,Darren,Darren Daye,76543,Daye
918,Nando,Nando De Colo,201986,De Colo
919,Dave,Dave DeBusschere,76545,DeBusschere
920,Andrew,Andrew DeClercq,692,DeClercq
921,Nate,Nate DeLong,76551,DeLong
922,DeMar,DeMar DeRozan,201942,DeRozan
923,Hank,Hank DeZonie,76562,DeZonie
924,Greg,Greg Deane,76544,Deane
925,Dewayne,Dewayne Dedmon,203473,Dedmon
926,Archie,Archie Dees,76546,Dees
927,Terry,Terry Dehere,143,Dehere
928,Red,Red Dehnert,76548,Dehnert
929,Bryce,Bryce Dejean-Jones,1626214,Dejean-Jones
930,Sam,Sam Dekker,1626155,Dekker
931,Vinny,Vinny Del Negro,219,Del Negro
932,Malcolm,Malcolm Delaney,1627098,Delaney
933,Bison,Bison Dele,183,Dele
934,Carlos,Carlos Delfino,2568,Delfino
935,Angel,Angel Delgado,1629116,Delgado
936,Tony,Tony Delk,960,Delk
937,Matthew,Matthew Dellavedova,203521,Dellavedova
938,Fennis,Fennis Dembo,76552,Dembo
939,Larry,Larry Demic,76553,Demic
940,Dell,Dell Demps,725,Demps
941,George,George Dempsey,76555,Dempsey
942,Luol,Luol Deng,2736,Deng
943,Kenny,Kenny Dennard,76556,Dennard
944,Blaine,Blaine Denning,76557,Denning
945,Justin,Justin Dentmon,202458,Dentmon
946,Randy,Randy Denton,76558,Denton
947,Rod,Rod Derline,76559,Derline
948,Dave,Dave Deutsch,76560,Deutsch
949,Walter,Walter Devlin,76561,Devlin
950,Ernie,Ernie DiGregorio,76568,DiGregorio
951,Donte,Donte DiVincenzo,1628978,DiVincenzo
952,Derrick,Derrick Dial,1760,Dial
953,Cheick,Cheick Diallo,1627767,Diallo
954,Hamidou,Hamidou Diallo,1628977,Diallo
955,Boris,Boris Diaw,2564,Diaw
956,Yakhouba,Yakhouba Diawara,200821,Diawara
957,Guillermo,Guillermo Diaz,200799,Diaz
958,Dan,Dan Dickau,2424,Dickau
959,Kaniel,Kaniel Dickens,2079,Dickens
960,Henry,Henry Dickerson,76563,Dickerson
961,Michael,Michael Dickerson,1722,Dickerson
962,Derrek,Derrek Dickey,76564,Dickey
963,Dick,Dick Dickey,76565,Dickey
964,Travis,Travis Diener,101143,Diener
965,Gorgui,Gorgui Dieng,203476,Dieng
966,Connie,Connie Dierking,76566,Dierking
967,Coby,Coby Dietrick,76567,Dietrick
968,Mickey,Mickey Dillard,76569,Dillard
969,Bob,Bob Dille,76570,Dille
970,John,John Dillon,76571,Dillon
971,Yanyuhang,Yanyuhang Ding,1629142,Ding
972,Byron,Byron Dinkins,76574,Dinkins
973,Jackie,Jackie Dinkins,76575,Dinkins
974,Bill,Bill Dinwiddie,76576,Dinwiddie
975,Spencer,Spencer Dinwiddie,203915,Dinwiddie
976,Ike,Ike Diogu,101113,Diogu
977,DeSagana,DeSagana Diop,2205,Diop
978,Terry,Terry Dischinger,76577,Dischinger
979,Fred,Fred Diute,76578,Diute
980,Vlade,Vlade Divac,124,Divac
981,Juan,Juan Dixon,2413,Dixon
982,Aleksandar,Aleksandar Djordjevic,1059,Djordjevic
983,Earl,Earl Dodd,76580,Dodd
984,Michael,Michael Doleac,1720,Doleac
985,Joe,Joe Dolhon,76581,Dolhon
986,Bob,Bob Doll,76582,Doll
987,James,James Donaldson,76583,Donaldson
988,Luka,Luka Doncic,1629029,Doncic
989,Bob,Bob Donham,76584,Donham
990,Billy,Billy Donovan,76586,Donovan
991,Harry,Harry Donovan,76585,Donovan
992,Keyon,Keyon Dooling,2039,Dooling
993,Jacky,Jacky Dorsey,76587,Dorsey
994,Joey,Joey Dorsey,201595,Dorsey
995,Tyler,Tyler Dorsey,1628416,Dorsey
996,Damyean,Damyean Dotson,1628422,Dotson
997,Quincy,Quincy Douby,200763,Douby
998,Bruce,Bruce Douglas,76588,Douglas
999,John,John Douglas,76589,Douglas
1000,Leon,Leon Douglas,76590,Douglas
1001,Sherman,Sherman Douglas,428,Douglas
1002,Toney,Toney Douglas,201962,Douglas
1003,Chris,Chris Douglas-Roberts,201604,Douglas-Roberts
1004,Lloyd,Lloyd Dove,76592,Dove
1005,Zabian,Zabian Dowdell,202220,Dowdell
1006,Bill,Bill Downey,76593,Downey
1007,Steve,Steve Downing,76594,Downing
1008,Danny,Danny Doyle,76595,Doyle
1009,Milton,Milton Doyle,1628495,Doyle
1010,PJ,PJ Dozier,1628408,Dozier
1011,Terry,Terry Dozier,76596,Dozier
1012,Goran,Goran Dragic,201609,Dragic
1013,Zoran,Zoran Dragic,204054,Dragic
1014,Greg,Greg Dreiling,1068,Dreiling
1015,Bryce,Bryce Drew,1724,Drew
1016,John,John Drew,76598,Drew
1017,Larry,Larry Drew,76599,Drew
1018,Larry,Larry Drew II,203580,Drew II
1019,Clyde,Clyde Drexler,17,Drexler
1020,Nate,Nate Driggers,1041,Driggers
1021,Terry,Terry Driscoll,76603,Driscoll
1022,Predrag,Predrag Drobnjak,1542,Drobnjak
1023,Ralph,Ralph Drollinger,76604,Drollinger
1024,Andre,Andre Drummond,203083,Drummond
1025,Dennis,Dennis DuVal,76623,DuVal
1026,Dick,Dick Duckett,76605,Duckett
1027,Kevin,Kevin Duckworth,404,Duckworth
1028,Charles,Charles Dudley,76607,Dudley
1029,Chris,Chris Dudley,201,Dudley
1030,Jared,Jared Dudley,201162,Dudley
1031,Terry,Terry Duerod,76608,Duerod
1032,Bob,Bob Duffy,76609,Duffy
1033,Bob,Bob Duffy,76610,Duffy
1034,Chris,Chris Duhon,2768,Duhon
1035,Duje,Duje Dukan,1626251,Dukan
1036,Walter,Walter Dukes,76611,Dukes
1037,Joe,Joe Dumars,247,Dumars
1038,Richard,Richard Dumas,30,Dumas
1039,Tony,Tony Dumas,434,Dumas
1040,Andy,Andy Duncan,76615,Duncan
1041,Tim,Tim Duncan,1495,Duncan
1042,Mike,Mike Dunleavy,2399,Dunleavy
1043,Mike,Mike Dunleavy,76616,Dunleavy
1044,Kris,Kris Dunn,1627739,Dunn
1045,Pat,Pat Dunn,76617,Dunn
1046,T.R.,T.R. Dunn,76618,Dunn
1047,Ronald,Ronald Dupree,2648,Dupree
1048,Kevin,Kevin Durant,201142,Durant
1049,John,John Duren,76619,Duren
1050,Pat,Pat Durham,1090,Durham
1051,Devin,Devin Durrant,76621,Durrant
1052,Ken,Ken Durrett,76622,Durrett
1053,Jack,Jack Dwan,76624,Dwan
1054,Craig,Craig Dykema,76625,Dykema
1055,Gene,Gene Dyker,76626,Dyker
1056,Jerome,Jerome Dyson,202406,Dyson
1057,Ledell,Ledell Eackles,289,Eackles
1058,Jim,Jim Eakins,76628,Eakins
1059,Acie,Acie Earl,768,Earl
1060,Ed,Ed Earle,76630,Earle
1061,Cleanthony,Cleanthony Early,203921,Early
1062,Mark,Mark Eaton,76631,Eaton
1063,Jerry,Jerry Eaves,76632,Eaves
1064,Devin,Devin Ebanks,202365,Ebanks
1065,Bill,Bill Ebben,76633,Ebben
1066,Al,Al Eberhard,76634,Eberhard
1067,Ndudi,Ndudi Ebi,2569,Ebi
1068,Jarell,Jarell Eddie,204067,Eddie
1069,Patrick,Patrick Eddie,76635,Eddie
1070,Thomas,Thomas Eddleman,76636,Eddleman
1071,Kent,Kent Edelin,76637,Edelin
1072,Keith,Keith Edmonson,76638,Edmonson
1073,Tyus,Tyus Edney,721,Edney
1074,Bill,Bill Edwards,76646,Edwards
1075,Blue,Blue Edwards,898,Edwards
1076,Corsley,Corsley Edwards,2451,Edwards
1077,Doug,Doug Edwards,346,Edwards
1078,Franklin,Franklin Edwards,76641,Edwards
1079,James,James Edwards,229,Edwards
1080,Jay,Jay Edwards,76643,Edwards
1081,John,John Edwards,2823,Edwards
1082,Kevin,Kevin Edwards,236,Edwards
1083,Shane,Shane Edwards,202197,Edwards
1084,Vincent,Vincent Edwards,1629053,Edwards
1085,Johnny,Johnny Egan,76647,Egan
1086,Lonnie,Lonnie Eggleston,76648,Eggleston
1087,Eddie,Eddie Ehlers,76649,Ehlers
1088,Craig,Craig Ehlo,378,Ehlo
1089,Dick,Dick Eichhorst,76651,Eichhorst
1090,Howard,Howard Eisley,458,Eisley
1091,Obinna,Obinna Ekezie,1918,Ekezie
1092,Khalid,Khalid El-Amin,2064,El-Amin
1093,Don,Don Eliason,76653,Eliason
1094,Mario,Mario Elie,53,Elie
1095,Ray,Ray Ellefson,76655,Ellefson
1096,Henry,Henry Ellenson,1627740,Ellenson
1097,Wayne,Wayne Ellington,201961,Ellington
1098,Bob,Bob Elliott,76656,Elliott
1099,Sean,Sean Elliott,251,Elliott
1100,Alexander,Alexander Ellis,76658,Ellis
1101,Bo,Bo Ellis,76664,Ellis
1102,Dale,Dale Ellis,107,Ellis
1103,Harold,Harold Ellis,1677,Ellis
1104,Joe,Joe Ellis,76661,Ellis
1105,LaPhonso,LaPhonso Ellis,111,Ellis
1106,LeRon,LeRon Ellis,1034,Ellis
1107,Leroy,Leroy Ellis,76663,Ellis
1108,Monta,Monta Ellis,101145,Ellis
1109,Pervis,Pervis Ellison,442,Ellison
1110,Len,Len Elmore,600010,Elmore
1111,Francisco,Francisco Elson,1922,Elson
1112,Darrell,Darrell Elston,76667,Elston
1113,Melvin,Melvin Ely,2408,Ely
1114,Joel,Joel Embiid,203954,Embiid
1115,Wayne,Wayne Embry,76668,Embry
1116,Andre,Andre Emmett,2765,Emmett
1117,Ned,Ned Endress,76669,Endress
1118,Chris,Chris Engler,76670,Engler
1119,Wayne,Wayne Englestad,76671,Englestad
1120,A.J.,A.J. English,76672,English
1121,Alex,Alex English,76673,English
1122,Claude,Claude English,76674,English
1123,Jojo,Jojo English,76676,English
1124,Kim,Kim English,203119,English
1125,Scott,Scott English,76675,English
1126,Gene,Gene Englund,76677,Englund
1127,Tyler,Tyler Ennis,203898,Ennis
1128,James,James Ennis III,203516,Ennis III
1129,Ray,Ray Epps,76678,Epps
1130,Semih,Semih Erden,201623,Erden
1131,Bo,Bo Erias,76679,Erias
1132,Keith,Keith Erickson,76680,Erickson
1133,Julius,Julius Erving,76681,Erving
1134,Evan,Evan Eschmeyer,1915,Eschmeyer
1135,Jack,Jack Eskridge,76682,Eskridge
1136,Vincenzo,Vincenzo Esposito,76683,Esposito
1137,Bob,Bob Evans,76687,Evans
1138,Brian,Brian Evans,967,Evans
1139,Earl,Earl Evans,76685,Evans
1140,Jacob,Jacob Evans,1628980,Evans
1141,Jawun,Jawun Evans,1628393,Evans
1142,Jeremy,Jeremy Evans,202379,Evans
1143,Maurice,Maurice Evans,2230,Evans
1144,Mike,Mike Evans,76686,Evans
1145,Reggie,Reggie Evans,2501,Evans
1146,Tyreke,Tyreke Evans,201936,Evans
1147,Daniel,Daniel Ewing,101137,Ewing
1148,Patrick,Patrick Ewing,121,Ewing
1149,Patrick,Patrick Ewing,201607,Ewing
1150,Dante,Dante Exum,203957,Exum
1151,Christian,Christian Eyenga,201963,Eyenga
1152,Festus,Festus Ezeli,203105,Ezeli
1153,Johnny,Johnny Ezersky,76689,Ezersky
1154,Joe,Joe Fabel,76690,Fabel
1155,John,John Fairchild,76691,Fairchild
1156,Phil,Phil Farbman,76692,Farbman
1157,Kenneth,Kenneth Faried,202702,Faried
1158,Dick,Dick Farley,76693,Farley
1159,Jordan,Jordan Farmar,200770,Farmar
1160,Desmon,Desmon Farmer,2824,Farmer
1161,Jim,Jim Farmer,76695,Farmer
1162,Mike,Mike Farmer,76694,Farmer
1163,Tony,Tony Farmer,1108,Farmer
1164,Bob,Bob Faught,76696,Faught
1165,Vitor,Vitor Faverani,203543,Faverani
1166,Derrick,Derrick Favors,202324,Favors
1167,Nick,Nick Fazekas,201174,Fazekas
1168,Dave,Dave Fedor,76697,Fedor
1169,Bob,Bob Feerick,76698,Feerick
1170,Butch,Butch Feher,76699,Feher
1171,Jamie,Jamie Feick,994,Feick
1172,Ron,Ron Feiereisel,76701,Feiereisel
1173,George,George Feigenbaum,76702,Feigenbaum
1174,Dave,Dave Feitl,76703,Feitl
1175,Kay,Kay Felder,1627770,Felder
1176,Cristiano,Cristiano Felicio,1626245,Felicio
1177,Carrick,Carrick Felix,203467,Felix
1178,Noel,Noel Felix,101230,Felix
1179,Ray,Ray Felix,76704,Felix
1180,Raymond,Raymond Felton,101109,Felton
1181,Jake,Jake Fendley,76705,Fendley
1182,Bill,Bill Fenley,76706,Fenley
1183,Desmond,Desmond Ferguson,2724,Ferguson
1184,Terrance,Terrance Ferguson,1628390,Ferguson
1185,Rudy,Rudy Fernandez,201164,Fernandez
1186,Eric,Eric Fernsten,76707,Fernsten
1187,Al,Al Ferrari,76708,Ferrari
1188,Rolando,Rolando Ferreira,76709,Ferreira
1189,Duane,Duane Ferrell,273,Ferrell
1190,Yogi,Yogi Ferrell,1627812,Ferrell
1191,Arnie,Arnie Ferrin,76711,Ferrin
1192,Bob,Bob Ferry,76712,Ferry
1193,Danny,Danny Ferry,198,Ferry
1194,Kyrylo,Kyrylo Fesenko,201178,Fesenko
1195,Kenny,Kenny Fields,76713,Fields
1196,Landry,Landry Fields,202361,Fields
1197,Ron,Ron Filipek,76714,Filipek
1198,Greg,Greg Fillmore,76715,Fillmore
1199,Hank,Hank Finkel,76716,Finkel
1200,Michael,Michael Finley,714,Finley
1201,Danny,Danny Finn,76717,Finn
1202,Dorian,Dorian Finney-Smith,1627827,Finney-Smith
1203,Matt,Matt Fish,900,Fish
1204,Derek,Derek Fisher,965,Fisher
1205,Gerald,Gerald Fitch,2809,Fitch
1206,Bob,Bob Fitzgerald,76720,Fitzgerald
1207,Dick,Dick Fitzgerald,76719,Fitzgerald
1208,Marcus,Marcus Fizer,2033,Fizer
1209,Jerry,Jerry Fleishman,76721,Fleishman
1210,Al,Al Fleming,76722,Fleming
1211,Ed,Ed Fleming,76723,Fleming
1212,Vern,Vern Fleming,313,Fleming
1213,Luis,Luis Flores,2784,Flores
1214,Bruce,Bruce Flowers,76725,Flowers
1215,Sleepy,Sleepy Floyd,76726,Floyd
1216,Jonny,Jonny Flynn,201938,Flynn
1217,Mike,Mike Flynn,76727,Flynn
1218,Larry,Larry Fogle,76728,Fogle
1219,Jack,Jack Foley,76729,Foley
1220,Ike,Ike Fontaine,1829,Fontaine
1221,Levi,Levi Fontaine,76731,Fontaine
1222,Jeff,Jeff Foote,202880,Foote
1223,Bryn,Bryn Forbes,1627854,Forbes
1224,Gary,Gary Forbes,201814,Forbes
1225,Alphonso,Alphonso Ford,76732,Ford
1226,Alton,Alton Ford,2228,Ford
1227,Chris,Chris Ford,76733,Ford
